Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,2.623000,2.623000,2.580000,2.593000,2.593000,0
2019-03-18,2.603000,2.611000,2.589000,2.602000,2.602000,0
2019-03-19,2.611000,2.634000,2.600000,2.614000,2.614000,0
2019-03-20,2.600000,2.600000,2.528000,2.535000,2.535000,0
2019-03-21,2.500000,2.544000,2.500000,2.537000,2.537000,0
2019-03-22,2.471000,2.482000,2.418000,2.455000,2.455000,0
2019-03-25,2.460000,2.464000,2.377000,2.420000,2.420000,0
2019-03-26,2.448000,2.448000,2.407000,2.414000,2.414000,0
2019-03-27,2.379000,2.405000,2.356000,2.374000,2.374000,0
2019-03-28,2.375000,2.405000,2.366000,2.389000,2.389000,0
2019-03-29,2.421000,2.433000,2.403000,2.414000,2.414000,0
2019-04-01,2.442000,2.499000,2.424000,2.497000,2.497000,0
2019-04-02,2.474000,2.492000,2.469000,2.481000,2.481000,0
2019-04-03,2.515000,2.524000,2.503000,2.517000,2.517000,0
2019-04-04,2.508000,2.522000,2.503000,2.512000,2.512000,0
2019-04-05,2.537000,2.544000,2.494000,2.501000,2.501000,0
2019-04-08,2.504000,2.519000,2.501000,2.519000,2.519000,0
2019-04-09,2.517000,2.517000,2.485000,2.499000,2.499000,0
2019-04-10,2.502000,2.510000,2.463000,2.477000,2.477000,0
2019-04-11,2.485000,2.510000,2.485000,2.504000,2.504000,0
2019-04-12,2.542000,2.562000,2.540000,2.560000,2.560000,0
2019-04-15,2.567000,2.574000,2.549000,2.553000,2.553000,0
